date,0,3,5,7,8,11,12,13,14,16,18,19,20,22,23,24,25,28,29,30,31,32,33,34,35,36,37,38,39,41,43,44,45,46,47,48,49,50,53,54,55,56,57,59,60,61,63,64,65,66,67,68,69,70,71,73,74,75,76,77,78,82,83,84,89,93,94,95,96,97,98,99,100,101,102,104,105,107,108,112,113,118,119,120,121,122,123,124,137,138,143,144,145,146,147,148,154,157,158,166,168,170,174,179,180,182,184,185,188,189,191,195,198,202,203,205,206,208,210,211
2016-05-01,65,45,23,71,28,67,60,40,62,48,54,59,52,47,42,42,39,46,47,21,22,21,36,62,39,41,74,56,40,22,20,81,49,66,56,71,41,38,17,56,28,60,25,69,37,50,49,84,56,69,51,68,38,48,57,65,42,68,55,43,22,49,32,31,48,80,61,60,29,76,51,25,13,36,44,20,11,50,58,41,38,41,67,56,46,46,53,59,56,69,78,88,70,77,24,39,28,43,67,62,39,71,40,43,53,35,56,50,29,43,11,75,66,48,49,44,40,60,24,35
2016-06-01,66,44,23,68,28,66,60,40,66,51,56,60,70,46,41,41,40,43,50,21,22,21,36,58,37,41,76,60,41,22,21,80,49,60,55,69,42,41,17,52,28,72,25,73,38,47,54,71,55,68,54,75,40,38,57,68,47,68,59,46,23,30,31,34,48,82,59,62,29,85,51,25,12,34,43,20,12,51,54,41,41,38,66,52,40,47,49,61,53,71,77,88,66,77,28,36,31,45,67,66,40,74,38,44,51,37,50,51,29,47,10,73,66,44,51,47,48,67,25,35
2016-07-01,77,40,21,60,29,64,52,37,56,46,50,58,56,34,32,33,31,34,48,20,18,18,34,56,34,35,72,52,53,24,18,76,42,53,53,61,34,36,14,38,28,61,21,59,29,43,45,65,59,68,58,66,37,39,53,66,33,60,58,38,22,20,25,24,48,86,54,57,27,76,45,19,12,31,43,20,11,43,42,39,40,40,83,51,43,40,51,58,47,100,70,77,64,73,54,37,27,36,62,83,38,74,30,49,37,31,51,44,30,41,10,68,59,42,53,51,43,77,23,33
2016-08-01,77,38,20,57,27,61,49,34,52,40,48,49,58,35,29,33,28,33,46,19,17,17,31,54,31,37,69,48,51,22,17,71,40,53,51,59,33,34,13,34,28,51,18,57,28,44,40,62,53,67,56,58,33,30,53,58,26,52,44,36,20,20,23,22,46,71,57,63,26,71,40,18,11,30,43,20,11,40,40,34,36,71,76,51,41,41,50,55,48,74,63,74,66,74,23,39,27,31,61,54,34,72,31,48,31,31,49,42,29,43,10,66,57,41,50,45,39,74,25,31
2016-09-01,68,41,23,64,26,64,57,41,59,45,51,59,48,41,42,39,38,47,46,22,21,20,34,53,36,38,71,62,42,20,19,79,49,57,54,70,43,35,16,48,28,56,41,65,39,47,40,69,51,64,47,64,38,32,56,61,48,68,58,43,22,27,30,28,46,64,70,69,29,76,48,19,11,31,42,24,11,48,57,37,36,41,57,54,41,44,50,59,51,72,71,73,70,70,26,34,27,46,68,64,41,73,39,42,37,34,48,49,29,60,10,74,60,49,47,44,32,54,26,31
2016-10-01,68,42,23,62,28,66,57,37,58,39,55,56,44,42,48,40,36,44,42,22,21,20,36,60,36,40,69,57,40,22,19,76,47,56,53,76,42,34,16,45,27,58,33,62,36,45,27,63,51,63,44,73,40,33,62,70,38,63,52,42,22,29,27,27,48,62,56,64,27,82,50,23,10,35,42,24,11,48,56,40,36,26,61,59,42,51,48,57,58,69,75,78,66,73,23,35,31,43,74,61,39,69,38,41,38,36,54,55,30,44,9,68,56,49,44,39,27,50,28,33
2016-11-01,60,42,24,63,27,68,58,37,59,51,60,59,44,45,51,42,39,50,40,23,22,20,38,58,36,39,69,57,40,22,19,78,48,56,53,76,45,33,16,48,28,58,39,65,37,47,27,48,53,62,41,76,46,42,66,79,43,68,56,45,25,33,30,28,48,63,55,70,24,79,50,38,11,34,42,22,11,50,60,46,37,27,55,70,50,54,51,69,65,67,82,100,64,73,23,36,31,43,71,62,41,68,40,37,35,39,80,55,28,44,9,74,65,53,40,35,24,47,29,32
2016-12-01,77,45,25,62,29,64,55,38,59,39,62,55,43,43,54,41,37,41,36,24,20,19,40,66,39,40,74,57,41,24,20,89,46,52,51,66,41,37,16,45,27,57,40,66,30,42,22,38,62,63,43,81,45,62,77,83,33,62,53,43,29,39,27,26,48,70,49,64,22,94,51,64,20,34,39,24,12,45,53,47,36,23,54,79,55,67,57,93,61,65,91,96,67,77,21,35,33,38,64,62,41,67,37,35,27,41,53,56,29,40,9,73,67,50,41,36,24,51,33,35
2017-01-01,68,43,24,64,28,68,58,36,62,51,57,59,50,43,43,42,40,51,44,22,22,20,37,61,36,38,72,65,39,21,21,80,53,53,53,81,47,35,19,49,27,58,29,68,39,44,43,36,51,63,49,80,41,33,61,69,45,68,56,45,24,38,30,28,49,69,62,69,26,88,53,22,15,36,41,23,10,48,62,48,37,26,57,62,43,52,51,64,58,70,75,84,71,67,23,45,29,48,73,62,49,70,39,41,30,37,64,56,27,49,9,76,67,53,45,40,34,59,33,31
2017-02-01,63,44,22,61,27,68,56,35,60,47,50,58,48,42,42,40,38,44,46,20,21,19,37,61,36,39,70,61,40,21,20,78,49,57,52,73,45,34,17,48,27,55,28,65,38,44,33,44,49,63,48,66,38,37,62,61,37,68,54,43,22,33,30,31,46,68,61,63,28,96,50,24,11,36,41,21,10,46,57,45,35,28,65,59,38,53,54,57,62,71,76,79,75,76,24,39,29,45,71,63,43,71,37,42,29,37,62,50,27,45,10,74,67,53,46,41,32,60,32,32
